index,score,path_size
593,24624.0,100
594,7516.0,100
595,7992.0,100
596,11584.0,100
597,18332.0,100
598,11412.0,100
599,2596.0,100
600,10236.0,100
601,3308.0,100
602,14600.0,100
603,5624.0,100
604,6684.0,100
605,2000.0,100
606,10432.0,100
607,1908.0,100
608,3732.0,100
609,19388.0,100
610,1984.0,100
611,13688.0,100
612,5836.0,100
613,4140.0,100
614,7216.0,100
615,12540.0,100
616,7552.0,100
617,13352.0,100
618,17624.0,100
619,5160.0,100
620,6356.0,100
621,16016.0,100
622,24824.0,100
623,38496.0,100
624,8120.0,100
625,8680.0,100
626,9076.0,100
627,6132.0,100
628,1888.0,100
629,43496.0,100
630,21048.0,100
631,7908.0,100
632,1752.0,100
633,32772.0,100
634,4512.0,100
635,17824.0,100
636,13880.0,100
637,2204.0,100
638,3652.0,100
639,6200.0,100
640,8504.0,100
641,17120.0,100
642,7248.0,100
643,892.0,100
644,18456.0,100
645,14284.0,100
646,9004.0,100
647,7492.0,100
648,7872.0,100
649,3368.0,100
650,2008.0,100
651,11664.0,100
652,1528.0,100
653,2592.0,100
654,4044.0,100
655,4808.0,100
656,2272.0,100
657,13548.0,100
658,15972.0,100
659,14468.0,100
660,9796.0,100
661,6800.0,100
662,4236.0,100
663,7484.0,100
664,3752.0,100
665,9560.0,100
666,7576.0,100
667,3592.0,100
668,2872.0,100
669,14512.0,100
670,8400.0,100
671,5892.0,100
672,5676.0,100
673,11672.0,100
674,10088.0,100
675,10868.0,100
676,3084.0,100
677,9388.0,100
678,7400.0,100
679,2400.0,100
680,3916.0,100
681,7092.0,100
682,6604.0,100
683,3864.0,100
684,5296.0,100
685,2940.0,100
686,15328.0,100
687,12392.0,100
688,7752.0,100
689,3620.0,100
690,11696.0,100
691,17692.0,100
692,3936.0,100
693,7408.0,100
694,6676.0,100
695,7368.0,100
696,7800.0,100
0,6124.0,1000
1,26520.0,1000
2,3724.0,1000
3,4144.0,1000
4,2648.0,1000
5,18332.0,1000
6,4212.0,1000
7,9976.0,1000
8,12384.0,1000
9,3036.0,1000
10,5344.0,1000
11,4712.0,1000
12,4828.0,1000
13,2000.0,1000
14,4116.0,1000
15,13088.0,1000
16,5124.0,1000
17,4988.0,1000
18,16624.0,1000
19,3516.0,1000
20,15572.0,1000
21,1736.0,1000
22,8360.0,1000
23,18836.0,1000
24,5584.0,1000
25,16744.0,1000
26,2928.0,1000
27,8140.0,1000
28,8044.0,1000
29,6504.0,1000
30,36424.0,1000
0,6968.0,10000
1,23676.0,10000
2,4464.0,10000
3,15532.0,10000
4,11436.0,10000
5,10428.0,10000
6,4664.0,10000
7,9712.0,10000
8,4572.0,10000
9,4608.0,10000
10,3396.0,10000
11,10152.0,10000
12,24224.0,10000
13,32912.0,10000
14,7232.0,10000
15,1424.0,10000
16,7356.0,10000
17,7164.0,10000
18,10136.0,10000
19,8140.0,10000
20,1656.0,10000
21,2176.0,10000
22,18584.0,10000
23,3172.0,10000
24,3132.0,10000
0,8820.0,25000
1,6044.0,25000
2,2620.0,25000
3,15028.0,25000
4,15444.0,25000
5,11464.0,25000
6,1748.0,25000
7,1676.0,25000
8,2332.0,25000
9,3584.0,25000
10,6304.0,25000
11,14192.0,25000
12,15668.0,25000
13,3700.0,25000
14,8296.0,25000
15,18440.0,25000
16,3680.0,25000
17,28292.0,25000
18,11368.0,25000
19,28424.0,25000
20,18768.0,25000
21,8992.0,25000
22,1860.0,25000
23,7552.0,25000
